event_name,event_year,event_period,burned_area_ha,burned_area_source,normalised_insured_loss_2022_aud,claims_count,loss_source,matching_confidence,notes
1967 Bushfire,1967,7 Feb 1967,264000,"Tasmania Fire Service / Black Tuesday records",1015000000,,ICA Historical Normalised Catastrophe Data,High,"Black Tuesday, southern Tasmania; single-day event-level burned area and loss aligned"
Ash Wednesday,1983,16 Feb 1983,418000,"CFA / CFS Ash Wednesday records (VIC + SA combined)",2240000000,,ICA Historical Normalised Catastrophe Data,Medium,"Combined Victoria and South Australia burned area on a single day; loss is the combined ICA catastrophe"
2003 Canberra Bushfires,2003,18 Jan 2003,157000,"ACT Government / McLeod Inquiry",544000000,30000,ICA Historical Normalised Catastrophe Data,Medium,"ACT firestorm; surrounding alpine fire complex was larger, so burned area covers the ACT event only"
Black Saturday,2009,7 Feb 2009,450000,"2009 Victorian Bushfires Royal Commission",1740000000,,ICA Historical Normalised Catastrophe Data,High,"Victoria, 7 February 2009; event-level burned area and loss aligned"
2013 Tasmania Bushfires,2013,Jan 2013,25000,"Tasmania Fire Service (Dunalley/Forcett)",108000000,,ICA Historical Normalised Catastrophe Data,Medium,"Dunalley/Forcett fire; approximate event-level burned area"
2013 NSW Blue Mountains,2013,Oct 2013,118000,"NSW Rural Fire Service",210000000,,ICA Historical Normalised Catastrophe Data,Medium,"Blue Mountains October 2013 fires; burned area summed across the main fires"
2015 Pinery Fire,2015,25 Nov 2015,82600,"SA Country Fire Service",180000000,,ICA Historical Normalised Catastrophe Data,High,"South Australia mid-north; event-level burned area and loss aligned"
2016 Waroona/Yarloop,2016,Jan 2016,69000,"WA Dept of Fire & Emergency Services",165000000,,ICA Historical Normalised Catastrophe Data,Medium,"Western Australia; Yarloop town destroyed; approximate event-level burned area"
Black Summer,2019,Sep 2019 – Mar 2020,24300000,"2020 Royal Commission into National Natural Disaster Arrangements (national season total)",2900000000,38000,ICA Historical Normalised Catastrophe Data,Medium,"Burned area is the national 2019–20 season total, not a single fire; the ICA catastrophe spans the same season so the period is matched but the spatial scale is far larger than other events"
2018 Tathra Bushfire,2018,18 Mar 2018,1250,"NSW Rural Fire Service",55000000,,ICA Historical Normalised Catastrophe Data,Medium,"NSW south coast; small burned area but concentrated residential loss"
